num_traces,ge_mean,ge_median
422,3.13,1.0
423,3.09,1.0
424,3.11,1.0
425,3.04,1.0
426,3.04,1.0
427,3.02,1.0
428,2.91,1.0
429,2.85,1.0
430,2.87,1.0
431,2.87,1.0
432,2.87,1.0
433,2.88,1.0
434,2.88,1.0
435,2.9,1.0
436,2.89,1.0
437,2.95,1.0
438,2.88,1.0
439,2.88,1.0
440,2.86,1.0
441,2.89,1.0
442,2.92,1.0
443,2.88,1.0
444,2.86,1.0
445,2.82,1.0
446,2.83,1.0
447,2.81,1.0
448,2.92,1.0
449,2.85,1.0
450,2.79,1.0
451,2.75,1.0
452,2.78,1.0
453,2.82,1.0
454,2.84,1.0
455,2.84,1.0
456,2.78,1.0
457,2.79,1.0
458,2.75,1.0
459,2.87,1.0
460,2.89,1.0
461,2.81,1.0
462,2.78,1.0
463,2.82,1.0
464,2.76,1.0
465,2.74,1.0
466,2.82,1.0
467,2.77,1.0
468,2.76,1.0
469,2.81,1.0
470,2.8,1.0
471,2.79,1.0
472,2.81,1.0
473,2.73,1.0
474,2.77,1.0
475,2.7,1.0
476,2.6,1.0
477,2.61,1.0
478,2.54,1.0
479,2.58,1.0
480,2.6,1.0
481,2.59,1.0
482,2.51,1.0
483,2.55,1.0
484,2.39,1.0
485,2.39,1.0
486,2.42,1.0
487,2.5,1.0
488,2.47,1.0
489,2.44,1.0
490,2.5,1.0
491,2.55,1.0
492,2.62,1.0
493,2.51,1.0
494,2.5,1.0
495,2.58,1.0
496,2.49,1.0
497,2.42,0.0
498,2.41,0.0
499,2.37,0.0
500,2.4,0.0
501,2.33,0.0
502,2.44,0.5
503,2.48,1.0
504,2.44,1.0
505,2.42,0.0
506,2.4,0.5
507,2.37,0.5
508,2.43,0.0
509,2.39,0.0
510,2.38,0.5
511,2.48,0.5
512,2.44,0.0
513,2.4,0.0
514,2.35,0.0
515,2.33,0.0
516,2.3,0.0
517,2.32,0.0
518,2.31,0.0
519,2.29,0.0
520,2.25,0.0
521,2.32,0.0
522,2.28,0.0
523,2.32,0.0
524,2.35,0.0
525,2.31,0.0
526,2.42,0.0
527,2.31,0.0
528,2.32,0.0
529,2.27,0.0
530,2.22,0.0
531,2.18,0.0
532,2.16,0.0
533,2.17,0.0
534,2.17,0.0
535,2.19,0.0
536,2.18,0.0
537,2.14,0.0
538,2.14,0.0
539,2.1,0.0
540,2.07,0.0
541,2.17,0.0
542,2.15,0.0
543,2.16,0.0
544,2.13,0.0
545,2.14,0.0
546,2.15,0.0
547,2.09,0.0
548,2.09,0.0
549,2.09,0.0
550,2.05,0.0
551,2.07,0.0
552,2.02,0.0
553,1.99,0.0
554,1.95,0.0
555,2.01,0.0
556,1.94,0.0
557,1.93,0.0
558,1.99,0.0
559,1.99,0.0
560,2.03,0.0
561,1.96,0.0
562,1.93,0.0
563,1.95,0.0
564,1.92,0.0
565,1.93,0.0
566,1.94,0.0
567,1.92,0.0
568,1.92,0.0
569,1.92,0.0
570,1.94,0.0
571,1.91,0.0
572,1.92,0.0
573,1.9,0.0
574,1.96,0.0
575,1.88,0.0
576,1.97,0.0
577,1.94,0.0
578,1.98,0.0
579,1.84,0.0
580,1.83,0.0
581,1.81,0.0
582,1.81,0.0
583,1.7,0.0
584,1.66,0.0
585,1.72,0.0
586,1.77,0.0
587,1.77,0.0
588,1.75,0.0
589,1.77,0.0
590,1.74,0.0
591,1.77,0.0
592,1.74,0.0
593,1.75,0.0
594,1.65,0.0
595,1.67,0.0
596,1.66,0.0
597,1.63,0.0
598,1.66,0.0
599,1.67,0.0
600,1.64,0.0
601,1.63,0.0
602,1.63,0.0
603,1.58,0.0
604,1.54,0.0
605,1.54,0.0
606,1.62,0.0
607,1.55,0.0
608,1.56,0.0
609,1.57,0.0
610,1.56,0.0
611,1.56,0.0
612,1.55,0.0
613,1.58,0.0
614,1.54,0.0
615,1.51,0.0
616,1.57,0.0
617,1.56,0.0
618,1.5,0.0
619,1.51,0.0
620,1.55,0.0
621,1.53,0.0
622,1.47,0.0
623,1.43,0.0
624,1.4,0.0
625,1.46,0.0
626,1.43,0.0
627,1.45,0.0
628,1.45,0.0
629,1.5,0.0
630,1.51,0.0
631,1.53,0.0
632,1.55,0.0
633,1.52,0.0
634,1.54,0.0
635,1.48,0.0
636,1.51,0.0
637,1.57,0.0
638,1.54,0.0
639,1.54,0.0
640,1.53,0.0
641,1.5,0.0
642,1.48,0.0
643,1.5,0.0
644,1.52,0.0
645,1.55,0.0
646,1.47,0.0
647,1.55,0.0
648,1.49,0.0
649,1.47,0.0
650,1.45,0.0
651,1.46,0.0
652,1.5,0.0
653,1.49,0.0
654,1.48,0.0
655,1.46,0.0
656,1.49,0.0
657,1.51,0.0
658,1.57,0.0
659,1.55,0.0
660,1.55,0.0
661,1.49,0.0
662,1.48,0.0
663,1.53,0.0
664,1.38,0.0
665,1.39,0.0
666,1.34,0.0
667,1.37,0.0
668,1.37,0.0
669,1.32,0.0
670,1.34,0.0
671,1.36,0.0
672,1.34,0.0
673,1.36,0.0
674,1.38,0.0
675,1.39,0.0
676,1.41,0.0
677,1.36,0.0
678,1.37,0.0
679,1.38,0.0
680,1.38,0.0
681,1.36,0.0
682,1.4,0.0
683,1.36,0.0
684,1.36,0.0
685,1.35,0.0
686,1.38,0.0
687,1.38,0.0
688,1.3,0.0
689,1.31,0.0
690,1.29,0.0
691,1.32,0.0
692,1.28,0.0
693,1.26,0.0
694,1.24,0.0
695,1.26,0.0
696,1.29,0.0
697,1.31,0.0
698,1.29,0.0
699,1.29,0.0
700,1.3,0.0
701,1.29,0.0
702,1.35,0.0
703,1.33,0.0
704,1.39,0.0
705,1.36,0.0
706,1.39,0.0
707,1.4,0.0
708,1.42,0.0
709,1.39,0.0
710,1.41,0.0
711,1.38,0.0
712,1.34,0.0
713,1.28,0.0
714,1.26,0.0
715,1.25,0.0
716,1.27,0.0
717,1.23,0.0
718,1.25,0.0
719,1.26,0.0
720,1.24,0.0
721,1.27,0.0
722,1.19,0.0
723,1.25,0.0
724,1.27,0.0
725,1.2,0.0
726,1.19,0.0
727,1.17,0.0
728,1.2,0.0
729,1.17,0.0
730,1.12,0.0
731,1.14,0.0
732,1.13,0.0
733,1.17,0.0
734,1.16,0.0
735,1.17,0.0
736,1.12,0.0
737,1.09,0.0
738,1.04,0.0
739,1.14,0.0
740,1.09,0.0
741,1.11,0.0
742,1.11,0.0
743,1.14,0.0
744,1.09,0.0
745,1.13,0.0
746,1.1,0.0
747,1.14,0.0
748,1.11,0.0
749,1.04,0.0
750,1.06,0.0
751,1.04,0.0
752,1.07,0.0
753,1.04,0.0
754,1.07,0.0
755,1.08,0.0
756,1.04,0.0
757,1.04,0.0
758,1.04,0.0
759,1.03,0.0
760,1.04,0.0
761,1.04,0.0
762,1.01,0.0
763,1.02,0.0
764,1.04,0.0
765,1.05,0.0
766,1.0,0.0
767,0.99,0.0
768,0.96,0.0
769,0.99,0.0
770,1.01,0.0
771,1.01,0.0
772,0.97,0.0
773,0.97,0.0
774,1.02,0.0
775,1.0,0.0
776,1.02,0.0
777,1.01,0.0
778,1.0,0.0
779,0.9,0.0
780,0.88,0.0
781,0.88,0.0
782,0.89,0.0
783,0.89,0.0
784,0.89,0.0
785,0.87,0.0
786,0.86,0.0
787,0.9,0.0
788,0.93,0.0
789,0.92,0.0
790,0.95,0.0
791,0.96,0.0
792,0.96,0.0
793,0.94,0.0
794,0.88,0.0
795,0.87,0.0
796,0.82,0.0
797,0.84,0.0
798,0.85,0.0
799,0.83,0.0
800,0.83,0.0
801,0.83,0.0
802,0.81,0.0
803,0.85,0.0
804,0.85,0.0
805,0.83,0.0
806,0.85,0.0
807,0.85,0.0
808,0.79,0.0
809,0.83,0.0
810,0.84,0.0
811,0.82,0.0
812,0.84,0.0
813,0.85,0.0
814,0.85,0.0
815,0.86,0.0
816,0.87,0.0
817,0.82,0.0
818,0.83,0.0
819,0.84,0.0
820,0.82,0.0
821,0.82,0.0
822,0.81,0.0
823,0.77,0.0
824,0.77,0.0
825,0.77,0.0
826,0.75,0.0
827,0.75,0.0
828,0.77,0.0
829,0.77,0.0
830,0.79,0.0
831,0.76,0.0
832,0.8,0.0
833,0.75,0.0
834,0.77,0.0
835,0.81,0.0
836,0.79,0.0
837,0.75,0.0
838,0.73,0.0
839,0.72,0.0
840,0.74,0.0
841,0.77,0.0
842,0.76,0.0
843,0.78,0.0
844,0.77,0.0
845,0.8,0.0
846,0.72,0.0
847,0.73,0.0
848,0.74,0.0
849,0.74,0.0
850,0.73,0.0
851,0.75,0.0
852,0.76,0.0
853,0.74,0.0
854,0.74,0.0
855,0.75,0.0
856,0.72,0.0
857,0.73,0.0
858,0.74,0.0
859,0.76,0.0
860,0.79,0.0
861,0.81,0.0
862,0.82,0.0
863,0.8,0.0
864,0.8,0.0
865,0.79,0.0
866,0.78,0.0
867,0.74,0.0
868,0.77,0.0
869,0.75,0.0
870,0.76,0.0
871,0.75,0.0
872,0.74,0.0
873,0.73,0.0
874,0.72,0.0
875,0.69,0.0
876,0.7,0.0
877,0.72,0.0
878,0.72,0.0
879,0.72,0.0
880,0.68,0.0
881,0.65,0.0
882,0.71,0.0
883,0.74,0.0
884,0.72,0.0
885,0.7,0.0
886,0.7,0.0
887,0.72,0.0
888,0.71,0.0
889,0.69,0.0
890,0.71,0.0
891,0.72,0.0
892,0.71,0.0
893,0.68,0.0
894,0.72,0.0
895,0.69,0.0
896,0.69,0.0
897,0.71,0.0
898,0.72,0.0
899,0.72,0.0
900,0.7,0.0
901,0.7,0.0
902,0.71,0.0
903,0.71,0.0
904,0.73,0.0
905,0.71,0.0
906,0.73,0.0
907,0.72,0.0
908,0.72,0.0
909,0.7,0.0
910,0.69,0.0
911,0.7,0.0
912,0.74,0.0
913,0.73,0.0
914,0.73,0.0
915,0.73,0.0
916,0.72,0.0
917,0.73,0.0
918,0.74,0.0
919,0.73,0.0
920,0.74,0.0
921,0.75,0.0
922,0.75,0.0
923,0.74,0.0
924,0.7,0.0
925,0.71,0.0
926,0.75,0.0
927,0.75,0.0
928,0.76,0.0
929,0.75,0.0
930,0.73,0.0
931,0.71,0.0
932,0.7,0.0
933,0.71,0.0
934,0.7,0.0
935,0.72,0.0
936,0.7,0.0
937,0.7,0.0
938,0.7,0.0
939,0.7,0.0
940,0.71,0.0
941,0.71,0.0
942,0.7,0.0
943,0.67,0.0
944,0.68,0.0
945,0.69,0.0
946,0.7,0.0
947,0.7,0.0
948,0.68,0.0
949,0.68,0.0
950,0.68,0.0
951,0.68,0.0
952,0.69,0.0
953,0.68,0.0
954,0.67,0.0
955,0.65,0.0
956,0.69,0.0
957,0.7,0.0
958,0.7,0.0
959,0.68,0.0
960,0.64,0.0
961,0.63,0.0
962,0.6,0.0
963,0.59,0.0
964,0.58,0.0
965,0.62,0.0
966,0.61,0.0
967,0.62,0.0
968,0.61,0.0
969,0.62,0.0
970,0.61,0.0
971,0.61,0.0
972,0.61,0.0
973,0.61,0.0
974,0.6,0.0
975,0.62,0.0
976,0.62,0.0
977,0.61,0.0
978,0.64,0.0
979,0.63,0.0
980,0.62,0.0
981,0.62,0.0
982,0.61,0.0
983,0.59,0.0
984,0.61,0.0
985,0.61,0.0
986,0.62,0.0
987,0.62,0.0
988,0.62,0.0
989,0.62,0.0
990,0.63,0.0
991,0.62,0.0
992,0.61,0.0
993,0.61,0.0
994,0.57,0.0
995,0.56,0.0
996,0.55,0.0
997,0.57,0.0
998,0.57,0.0
999,0.57,0.0
1000,0.59,0.0
