acc_train_epoch,acc_train_step,acc_val,epoch,loss_train_epoch,loss_train_step,loss_val,step,val_ge_mean
0.8607249855995178,,,28,0.4532424807548523,,,2290,
,0.85546875,,29,,0.44395384192466736,,2299,
,0.86328125,,29,,0.42128172516822815,,2349,
,,0.6488999724388123,29,,,1.1092948913574219,2369,0.0
0.8688750267028809,,,29,0.43497002124786377,,,2369,
,0.875,,30,,0.4158293902873993,,2399,
,,0.6450999975204468,30,,,1.139981746673584,2448,0.0
0.8766250014305115,,,30,0.41443222761154175,,,2448,
,0.896484375,,31,,0.3531005084514618,,2449,
,0.87890625,,31,,0.40904921293258667,,2499,
,,0.6450999975204468,31,,,1.1536799669265747,2527,0.0
0.8835750222206116,,,31,0.3919869661331177,,,2527,
,0.900390625,,32,,0.3797326385974884,,2549,
,0.896484375,,32,,0.3443014919757843,,2599,
,,0.6384999752044678,32,,,1.1687545776367188,2606,0.0
